monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
CC1SCCSC1=O,RER,FALSE,[*]CCSC(C)C(=O)S[*],3.00,,,,,,298.15,,dft,-7.52442262,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCCOC1=O,RER,FALSE,[*]OCCCC(C)C([*])=O,3.00,,,,,,298.15,,dft,-19.83627825,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCC(=O)OC1,RER,FALSE,[*]OCC(C)CCC([*])=O,3.00,,,,,,298.15,,dft,11.01435646,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCC1CCCC(=O)O1,RER,FALSE,[*]OC(CC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-1.531521223,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,9.227649839,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-13.06924352,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCCCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCCCCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-4.30694125,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCCCCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCCCCCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-0.0976,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCCCCCCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCCCCCCCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-16.26371583,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC(C)C1CC(=O)OC(C)C1,RER,FALSE,[*]OC(C)CC(CC([*])=O)C(C)C,3.00,,,,,,298.15,,dft,6.247521176,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C=C1CCOC1=O,RER,FALSE,[*]OCCC(=C)C([*])=O,3.00,,,,,,298.15,,dft,-3.887183916,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1OC(=O)C(C)OC1=O,RER,FALSE,[*]OC(C)C(=O)OC(C)C([*])=O,3.00,,,,,,298.15,,dft,-30.23019139,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C(OCc1ccccc1)C2CC=CC2,RER,FALSE,[*]CC=CCC([*])C(=O)OCc1ccccc1,3.00,,,,,,298.15,,dft,-6.520283869,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
